"序号
No",网点编码Code CE,网点名称Nom CE,网点类型Type CE,"省份
Province","城市
Ville"
91,61670G,大庆市威龙汽车贸易有限公司,4S,黑龙江省,大庆市
92,64760D,大庆市成通鑫业汽车销售服务有限公司,4S,黑龙江省,大庆市
93,65690H,牡丹江中信恒安汽车销售服务有限公司,4S,黑龙江省,牡丹江市
94,64120S,绥化市世佳汽车销售服务有限责任公司,4S,黑龙江省,绥化市
95,60900V,上海宝狮汽车销售服务有限公司,4S,上海市,上海市
96,60080D,上海陆狮汽车销售服务有限公司,4S,上海市,上海市
97,61700P,上海海标汽车销售有限公司,4S,上海市,上海市
98,65944C,上海申焕汽车销售服务有限公司,4S,上海市,上海市
99,60300T,上海中骋汽车销售有限公司,4S,上海市,上海市
100,60770D,上海炜业龙阳汽车销售服务有限公司,4S,上海市,上海市
101,61420K,上海炜业亨龙汽车销售服务有限公司,4S,上海市,上海市
102,65893X,上海子熠涵德汽车销售有限公司,4S,上海市,上海市
103,62770C,上海冠隆汽车销售服务有限公司,4S,上海市,上海市
104,62890H,江苏天泓标远汽车服务有限公司,4S,江苏省,南京市
105,65886P,江苏狮扬汽车销售服务有限公司,4S,江苏省,南京市
106,60180M,江苏万帮外汽汽车有限公司,4S,江苏省,南京市
107,63120U,江苏致尚汽车销售服务有限公司,4S,江苏省,南京市
108,60320P,江苏致成汽车销售服务有限公司,4S,江苏省,南京市
109,61790M,江苏金能汽车销售有限公司,4S,江苏省,南京市
110,62170A,江苏省淳通汽车销售服务有限公司,4S,江苏省,南京市
111,63570J,无锡市淳泰汽车销售服务有限公司,4S,江苏省,无锡市
112,60130H,无锡京汽汽车销售有限责任公司,4S,江苏省,无锡市
113,62140T,无锡宝狮龙汽车销售服务有限公司,4S,江苏省,无锡市
114,60230S,无锡东方龙泰汽车销售服务有限公司,4S,江苏省,无锡市
115,61000D,江阴市吉诚汽车有限公司,4S,江苏省,无锡市
116,64470Y,宜兴市致盛汽车销售服务有限公司,4S,江苏省,无锡市
117,65896A,徐州龙狮汽车销售服务有限公司,4S,江苏省,徐州市
118,65590X,邳州市亿达汽车销售服务有限公司,4S,江苏省,徐州市
119,60730K,常州冠亚恒通汽车销售服务有限公司,4S,江苏省,常州市
120,61270X,常州欧狮汽车销售服务有限公司,4S,江苏省,常州市
121,62410L,溧阳市荣盛汽车销售服务有限公司,4S,江苏省,常州市
122,60390R,苏州众和汽车销售服务有限公司,4S,江苏省,苏州市
123,60470C,苏州银狮汽车销售服务有限公司,4S,江苏省,苏州市
124,65350W,苏州元和通汽车服务有限公司,4S,江苏省,苏州市
125,61030L,常熟市伟杰致成汽车销售服务有限公司,4S,江苏省,苏州市
126,61380S,张家港众和汽车销售服务有限公司,4S,江苏省,苏州市
127,61250A,昆山力狮汽车销售服务有限公司,4S,江苏省,苏州市
128,65680G,昆山市海宝汽车销售服务有限公司,4S,江苏省,苏州市
129,62530S,吴江畅远汽车销售服务有限公司,4S,江苏省,苏州市
130,63680T,太仓华悦汽车销售服务有限公司,4S,江苏省,苏州市
131,62980F,南京朗驰集团南通朗瑞汽车销售服务有限公司,4S,江苏省,南通市
132,62520F,海安县海狮汽车销售服务有限公司,4S,江苏省,南通市
133,64420R,江苏太平洋汽车集团如东福港有限公司,4S,江苏省,南通市
134,61760E,如皋市三洋汽车销售服务有限公司,4S,江苏省,南通市
135,64340L,江苏致和汽车贸易有限公司,4S,江苏省,连云港市
136,61650K,淮安雨田致盛汽车销售服务有限公司,4S,江苏省,淮安市
137,65932P,江苏蓝致汽车销售服务有限公司,4S,江苏省,淮安市
138,64640Y,盐城贤德汽车有限公司,4S,江苏省,盐城市
139,61330M,森风集团盐城明德汽车有限公司,4S,江苏省,盐城市
140,65865S,扬州金标汽车销售有限公司,4S,江苏省,扬州市
141,63430Y,扬州宏远宝狮汽车有限公司,4S,江苏省,扬州市
142,65909P,镇江狮爵汽车销售有限公司,4S,江苏省,镇江市
143,61580J,泰州市致远汽车销售服务有限公司,4S,江苏省,泰州市
144,65720L,泰州市菱丰汽车销售服务有限公司,4S,江苏省,泰州市
145,65915W,宿迁美翔车业有限公司,4S,江苏省,宿迁市
146,64850S,江苏天泓致盛汽车服务有限公司,4S,江苏省,宿迁市
147,60840E,浙江元通森美汽车有限公司,4S,浙江省,杭州市
148,61610S,杭州和洵汽车销售服务有限公司,4S,浙江省,杭州市
149,62700B,浙江康诚汽车销售服务有限公司,4S,浙江省,杭州市
150,60240C,宁波金狮汽车销售服务有限公司,4S,浙江省,宁波市
151,65852C,宁波龙悦汽车销售服务有限公司,4S,浙江省,宁波市
152,65140Y,余姚市联冠汽车有限公司,4S,浙江省,宁波市
153,60210V,温州尊龙汽车销售服务有限公司,4S,浙江省,温州市
154,61740H,温州豪龙汽车有限公司,4S,浙江省,温州市
155,62810W,平阳瑞锦汽车销售服务有限公司,4S,浙江省,温州市
156,62450E,苍南县东神汽车服务有限公司,4S,浙江省,温州市
157,62880X,嘉兴敏田汽车销售服务有限公司,4S,浙江省,嘉兴市
158,60930C,嘉兴市思源汽车有限公司,4S,浙江省,嘉兴市
159,65951K,桐乡市华博汽车销售服务有限公司,4S,浙江省,嘉兴市
160,65926H,湖州心致汽车销售服务有限公司,4S,浙江省,湖州市
161,65910R,德清长运汽车销售服务有限公司,4S,浙江省,湖州市
162,60950Z,绍兴森美洪达汽车有限公司,4S,浙江省,绍兴市
163,65150S,绍兴康致汽车有限公司,4S,浙江省,绍兴市
164,61120J,金华金风汽车贸易有限公司,4S,浙江省,金华市
165,65931N,义乌悦狮汽车销售服务有限公司,4S,浙江省,金华市
166,64730D,东阳市雄狮汽车销售服务有限公司,4S,浙江省,金华市
167,63690Q,衢州标龙汽车销售服务有限公司,4S,浙江省,衢州市
168,65903H,舟山腾狮汽车销售服务有限公司,4S,浙江省,舟山市
169,65000T,台州市鑫硕汽车销售服务有限公司,4S,浙江省,台州市
170,65650D,台州博致汽车销售服务有限公司,4S,浙江省,台州市
171,60340L,安徽致远汽车销售服务有限公司,4S,安徽省,合肥市
172,63590A,合肥大名银狮汽车销售服务有限公司,4S,安徽省,合肥市
173,65919A,安徽致恒汽车销售服务有限公司,4S,安徽省,合肥市
174,65942A,芜湖华盈汽车销售服务有限公司,4S,安徽省,芜湖市
175,65923E,蚌埠福晟汽车贸易有限公司,4S,安徽省,蚌埠市
176,64510H,淮南致蓝汽车销售服务有限公司,4S,安徽省,淮南市
177,65856G,马鞍山利马汽车销售服务有限公司,4S,安徽省,马鞍山市
178,63050H,淮北市金成汽车销售有限公司,4S,安徽省,淮北市
179,62740V,铜陵市瑞致汽车销售服务有限公司,4S,安徽省,铜陵市
180,65858J,安庆华龙汽贸有限公司,4S,安徽省,安庆市
181,63930H,黄山市致兴汽车销售有限公司,4S,安徽省,黄山市
182,62560Z,安徽省淳泰东标汽车销售服务有限公司,4S,安徽省,滁州市
183,61750U,阜阳市银狮汽车销售服务有限公司,4S,安徽省,阜阳市
184,63840S,宿州润标汽车销售服务有限公司,4S,安徽省,宿州市
185,63350C,合肥云峰雄狮汽车销售有限公司,4S,安徽省,合肥市
186,64460L,六安伟鑫汽车销售服务有限公司,4S,安徽省,六安市
187,63230X,宣城市致鑫汽车销售服务有限公司,4S,安徽省,宣城市
188,60480N,福建吉诺佳宏汽车有限公司,4S,福建省,福州市
189,61390C,福州联胜联众汽车销售有限公司,4S,福建省,福州市
190,65670F,福州吉诺瑞狮汽车有限公司,4S,福建省,福州市
191,65200F,福州吉诺中狮汽车有限公司,4S,福建省,福州市
192,62420X,厦门捷众汽车有限公司,4S,福建省,厦门市
193,60370U,厦门永达丰汽车销售有限公司,4S,福建省,厦门市
194,65901F,厦门凯旋万豪汽车销售服务有限公司,4S,福建省,厦门市
195,65250K,厦门展狮汽车有限公司,4S,福建省,厦门市
196,62480M,厦门兴荣辉洋汽车销售服务有限公司,4S,福建省,厦门市
197,61570Y,福建神威汽车销售服务有限公司,4S,福建省,莆田市
198,65500M,三明致胜嘉业汽车发展有限公司,4S,福建省,三明市
199,65210Q,泉州荣成汽车销售服务有限公司,4S,福建省,泉州市
200,61770R,泉州福景汽车销售服务有限公司,4S,福建省,泉州市
201,65660E,福建丰顺达成汽车销售服务有限公司,4S,福建省,泉州市
202,62510V,福建丰豪汽车销售服务有限公司,4S,福建省,泉州市
203,61440G,漳州丰和元汽车销售有限公司,4S,福建省,漳州市
204,65320T,南平吉诺佳宏汽车销售服务有限公司,4S,福建省,南平市
205,61310R,龙岩市胜华成汽车销售有限公司,4S,福建省,龙岩市
206,64990N,宁德市吉诺佳宏汽车销售服务有限公司,4S,福建省,宁德市
207,60450F,江西东富汽车销售服务有限公司,4S,江西省,南昌市
208,64170J,江西亿鑫行汽车销售服务有限公司,4S,江西省,南昌市
209,63020Z,景德镇市万顺鑫汽车贸易有限公司,4S,江西省,景德镇市
210,65900E,萍乡市佳顺汽车销售服务有限公司,4S,江西省,萍乡市
211,65918Z,九江市万顺鑫汽车销售服务有限责任公司,4S,江西省,九江市
212,65937V,新余宏狮汽车销售服务有限公司,4S,江西省,新余市
213,61010P,赣州诚致汽车销售服务有限公司,4S,江西省,赣州市
214,63920G,江西裕龙汽车销售服务有限公司,4S,江西省,赣州市
215,62260Y,吉安市汇峰汽车销售服务有限公司,4S,江西省,吉安市
216,65939X,江西星光汽车销售服务有限公司,4S,江西省,宜春市
217,62460R,上饶市兆丰汽车销售服务有限公司,4S,江西省,上饶市
218,60270K,山东泰通汽车销售服务有限公司,4S,山东省,济南市
219,61540R,山东远方泰通汽车销售服务有限公司,4S,山东省,济南市
220,64100J,济南志和永茂汽车销售服务有限公司,4S,山东省,济南市
221,65820X,济南佳和汽车销售服务有限公司,4S,山东省,济南市
222,60750G,青岛宝狮汽车销售服务有限公司,4S,山东省,青岛市
223,63030B,青岛信和汽车销售有限公司,4S,山东省,青岛市
224,65922D,青岛信腾汽车销售服务有限公司,4S,山东省,青岛市
225,64350J,青岛金惠盛泰汽车销售服务有限公司,4S,山东省,青岛市
226,65841R,青岛众腾汽车销售服务有限公司,4S,山东省,青岛市
227,64880P,青岛华德汽车销售服务有限公司,4S,山东省,青岛市
228,61780B,淄博金锐狮汽车销售有限公司,4S,山东省,淄博市
229,65410C,淄博巍狮汽车销售服务有限公司,4S,山东省,淄博市
230,65874B,枣庄新狮汽车销售服务有限公司,4S,山东省,枣庄市
231,61100M,东营天狮汽车销售服务有限公司,4S,山东省,东营市
232,60720Z,烟台陆通汽车销售服务有限公司,4S,山东省,烟台市
233,65480K,烟台麦特威狮汽车销售有限公司,4S,山东省,烟台市
234,64200Y,龙口君泰汽车销售服务有限责任公司,4S,山东省,烟台市
235,65540S,莱阳市广致汽车销售有限公司,4S,山东省,烟台市
236,64380L,莱州市豪骏汽车销售服务有限公司,4S,山东省,烟台市
237,63970Q,栖霞欣瑞汽车销售服务有限公司,4S,山东省,烟台市
238,60880Y,潍坊天狮汽车销售服务有限公司,4S,山东省,潍坊市
239,62060F,潍坊泰通汽车销售服务有限公司,4S,山东省,潍坊市
240,65911S,临朐富康汽车销售服务有限公司,4S,山东省,潍坊市
241,65928K,青州隆益达汽车贸易有限公司,4S,山东省,潍坊市
242,62850P,诸城宝狮汽车销售服务有限公司,4S,山东省,潍坊市
243,65490L,寿光华裕汽车销售服务有限公司,4S,山东省,潍坊市
244,65610Z,安丘恒锦汽车销售服务有限公司,4S,山东省,潍坊市
245,63150G,高密隆兴车业有限公司,4S,山东省,潍坊市
246,61050H,济宁裕龙汽车销售服务有限公司,4S,山东省,济宁市
247,64580J,济宁华源兴狮汽车销售服务有限公司,4S,山东省,济宁市
248,64740J,济宁致圣汽车销售服务有限公司,4S,山东省,济宁市
249,65873A,邹城市东之顺汽车销售服务有限公司,4S,山东省,济宁市
250,61150S,泰安市华君东狮汽车销售服务有限公司,4S,山东省,泰安市
251,65810W,威海鑫钰汽车销售服务有限公司,4S,山东省,威海市
252,61210G,威海鑫狮汽车销售服务有限公司,4S,山东省,威海市
253,65260L,日照志美欣业汽车销售服务有限公司,4S,山东省,日照市
254,65230H,莱芜市全润经贸有限公司,4S,山东省,莱芜市
255,62570K,临沂睿狮汽车销售服务有限公司,4S,山东省,临沂市
256,60890J,临沂骏狮汽车贸易有限公司,4S,山东省,临沂市
257,63560S,临沂恒华汽车销售服务有限公司,4S,山东省,临沂市
258,61470P,德州天狮汽车销售服务有限公司,4S,山东省,德州市
259,65917Y,德州华迈汽车销售有限公司,4S,山东省,德州市
260,61970H,聊城市金辰汽车销售服务有限公司,4S,山东省,聊城市
261,61160C,滨州市狮瑞汽车销售有限公司,4S,山东省,滨州市
262,65848Y,山东滨州运翔汽车销售服务有限公司,4S,山东省,滨州市
263,61840S,菏泽鑫狮汽车贸易有限公司,4S,山东省,菏泽市
264,65849Z,菏泽鑫安伟杰汽车有限公司,4S,山东省,菏泽市
265,60050W,河南神源汽车销售有限公司,4S,河南省,郑州市
266,65934S,河南威佳致广汽车销售服务有限公司,4S,河南省,郑州市
267,65933R,河南威佳致达汽车销售有限公司,4S,河南省,郑州市
268,65935T,河南威佳致诚汽车销售有限公司,4S,河南省,郑州市
269,62430H,开封凯标汽车销售服务有限公司,4S,河南省,开封市
270,65888S,洛阳市安丰机电设备有限公司,4S,河南省,洛阳市
271,60940N,洛阳亨诚汽车贸易有限公司,4S,河南省,洛阳市
272,65904J,洛阳亨致汽车销售有限公司,4S,河南省,洛阳市
273,65889T,平顶山亨致车业有限公司,4S,河南省,平顶山市
274,61860N,安阳市鼎狮汽车销售服务有限公司,4S,河南省,安阳市
275,65907M,鹤壁中兴汽车销售服务有限公司,4S,河南省,鹤壁市
276,61480A,新乡市天源汽车商贸有限公司,4S,河南省,新乡市
277,63990X,新乡市天淼汽车商贸有限公司,4S,河南省,新乡市
278,61340Y,焦作市华顺汽车贸易有限公司,4S,河南省,焦作市
279,65420D,焦作市宏盛汽车贸易有限公司,4S,河南省,焦作市
280,65905K,濮阳市致美汽车销售服务有限公司,4S,河南省,濮阳市
281,65898C,许昌亨诚汽车服务有限公司,4S,河南省,许昌市
282,64650L,漯河润东德众汽车销售有限公司,4S,河南省,漯河市
283,63130Q,三门峡市腾狮汽车销售服务有限公司,4S,河南省,三门峡市
284,61220T,南阳市豫宛车业有限公司,4S,河南省,南阳市
285,64610N,南阳市豫龙车业有限公司,4S,河南省,南阳市
286,62090N,商丘市银狮汽车销售服务有限公司,4S,河南省,商丘市
287,65938W,商丘市贺泰汽车销售有限公司,4S,河南省,商丘市
288,65906L,周口市通泰汽车销售服务有限公司,4S,河南省,周口市
289,63170Z,驻马店市鼎泰汽车销售服务有限公司,4S,河南省,驻马店市
290,64780J,济源市亿达汽车销售服务有限公司,4S,河南省,济源市
291,64250D,东风鸿泰汽车销售有限公司武汉江岸分公司,4S,湖北省,武汉市
292,65949H,武汉精华致远汽车销售服务有限公司,4S,湖北省,武汉市
293,60120X,武汉万隆尚鸿汽车销售服务有限公司,4S,湖北省,武汉市
294,62660H,东风鸿泰汽车销售有限公司武汉沙湖分公司,4S,湖北省,武汉市
295,62380D,武汉兆丰标龙汽车销售服务有限公司,4S,湖北省,武汉市
296,62540C,东风鸿泰南湖武汉汽车销售服务有限公司,4S,湖北省,武汉市
297,63780W,东风鸿泰武汉关山汽车销售服务有限公司,4S,湖北省,武汉市
298,62500J,武汉市神龙鸿泰汽车销售服务有限公司沌口分公司,4S,湖北省,武汉市
299,65947F,黄石银狮汽车销售服务有限公司,4S,湖北省,黄石市
300,64300S,十堰亨运宏鑫汽车销售服务有限公司,4S,湖北省,十堰市
301,60510W,十堰中威汽车销售服务有限公司,4S,湖北省,十堰市
302,60670V,宜昌交运集团麟至汽车销售服务有限公司,4S,湖北省,宜昌市
303,63500Y,宜昌和顺汽车销售服务有限公司,4S,湖北省,宜昌市
304,62870L,东风鸿泰襄阳汽车销售服务有限公司,4S,湖北省,襄阳市
305,61180Z,襄阳鹏驰汽车销售有限公司,4S,湖北省,襄阳市
306,65842S,东风鸿泰鄂州汽车销售服务有限公司,4S,湖北省,鄂州市
307,62390P,荆门狮源汽车销售服务有限公司,4S,湖北省,荆门市
308,65864R,湖北一号汽贸有限公司,4S,湖北省,孝感市
309,65879G,湖北煜辉志通汽车销售服务有限公司,4S,湖北省,孝感市
310,63720J,荆州市狮源汽车销售服务有限公司,4S,湖北省,荆州市
311,64490H,黄冈恒信华致汽车销售服务有限公司,4S,湖北省,黄冈市
312,65877E,黄冈鼎睿汽车销售服务有限公司,4S,湖北省,黄冈市
313,63310X,咸宁市运通投资有限公司,4S,湖北省,咸宁市
314,62300S,随州市天龙汽车销售服务有限公司,4S,湖北省,随州市
315,62230R,恩施州交运运输集团昌鸿汽车销售服务有限责任公司,4S,湖北省,恩施土家族苗族自治州
316,65883L,仙桃宝狮汽车有限公司,4S,湖北省,仙桃市
317,65843T,潜江市利通汽车服务有限公司,4S,湖北省,潜江市
318,65857H,天门鑫源汽车销售服务有限公司,4S,湖北省,天门市
319,60260Z,长沙市鹏驰汽车销售有限公司,4S,湖南省,长沙市
320,62790Z,湖南华洋华狮汽车销售服务有限公司,4S,湖南省,长沙市
321,65930M,长沙鑫广合汽车销售服务有限公司,4S,湖南省,长沙市
322,62950Y,长沙兰天天狮汽车销售有限公司,4S,湖南省,长沙市
323,65940Y,湖南华洋兴狮汽车销售服务有限公司,4S,湖南省,长沙市
324,65863P,浏阳市凯达致翔汽车销售服务有限公司,4S,湖南省,长沙市
325,63650Z,株洲市兰天天宇汽车销售有限公司,4S,湖南省,株洲市
326,64980X,湘潭市金致汽车销售服务有限公司,4S,湖南省,湘潭市
327,61800Y,衡阳华佳汽车销售服务有限公司,4S,湖南省,衡阳市
328,65861M,邵阳汇丰汽车销售服务有限公司,4S,湖南省,邵阳市
329,65580W,邵阳市宝威汽车销售服务有限公司,4S,湖南省,邵阳市
330,61510H,岳阳惠致汽车有限公司,4S,湖南省,岳阳市
331,65740N,岳阳华致汽车有限公司,4S,湖南省,岳阳市
332,62250M,常德双星星致汽车销售服务有限公司,4S,湖南省,常德市
333,65871Y,常德双星星谊汽车销售服务有限公司,4S,湖南省,常德市
334,62310C,郴州市恒信投资有限公司,4S,湖南省,郴州市
335,64290Y,永州国华汽车销售有限公司,4S,湖南省,永州市
336,65948G,怀化市聚缘商贸服务有限责任公司,4S,湖南省,怀化市
337,62330Z,娄底市和顺汽车销售服务有限公司,4S,湖南省,娄底市
338,65780T,娄底市高科汽车贸易有限公司,4S,湖南省,娄底市
339,65847X,湖南辉悦汽车有限公司,4S,湖南省,湘西土家族苗族自治州
340,60119W,广州市美狮汽车销售服务有限公司,4S,广东省,广州市
341,60760T,广东广物标远汽车贸易有限公司,4S,广东省,广州市
342,60980G,广州鸿标汽车销售服务有限公司,4S,广东省,广州市
343,65854E,广州市骏狮汽车销售有限公司,4S,广东省,广州市
344,63420S,韶关市宝利达汽车销售服务有限公司,4S,广东省,韶关市
345,60800L,深圳市卡瑞汽车贸易有限公司,4S,广东省,深圳市
346,60780P,深圳市和致汽车销售服务有限公司,4S,广东省,深圳市
347,60610E,深圳市友车友汽车销售服务有限公司,4S,广东省,深圳市
348,65855F,深圳日鼎汽车贸易有限公司,4S,广东省,深圳市
349,61300E,珠海市海标贸易有限公司,4S,广东省,珠海市
350,65912T,珠海市永致汽车有限公司,4S,广东省,珠海市
351,64400Z,汕头市粤通汽车销售服务有限公司,4S,广东省,汕头市
352,65890U,佛山市粤和富汽车销售服务有限公司,4S,广东省,佛山市
353,60410M,佛山市鼎致汽车销售服务有限公司,4S,广东省,佛山市
354,65956R,佛山市顺德区弘致汽车销售服务有限公司,4S,广东省,佛山市
355,65600Y,佛山市金福狮汽车贸易有限公司,4S,广东省,佛山市
356,65941Z,江门市汇正汽车销售服务有限公司,4S,广东省,江门市
357,65869W,江门市大合明志汽车销售服务有限公司,4S,广东省,江门市
358,64410Z,湛江市利程汽车销售服务有限公司,4S,广东省,湛江市
359,65280N,茂名广物标远汽车销售服务有限公司,4S,广东省,茂名市
360,65310S,肇庆美轮庆志汽车有限公司,4S,广东省,肇庆市
361,65891V,惠州市和致汽车销售服务有限公司,4S,广东省,惠州市
362,65100M,梅州市宏成汽车销售服务有限公司,4S,广东省,梅州市
363,65868V,河源市骏马通汽车销售有限公司,4S,广东省,河源市
364,64280Y,阳江市广宝源汽车销售服务有限公司,4S,广东省,阳江市
365,64710S,清远市圆展汽车销售服务有限公司,4S,广东省,清远市
366,60650Y,东莞市广物骏标汽车销售有限公司,4S,广东省,东莞市
367,64790D,东莞市新标汽车贸易有限公司,4S,广东省,东莞市
368,64140G,东莞市广物正远汽车贸易有限公司,4S,广东省,东莞市
